단어,설명
강제화의 ,파산절차가 시작된 후 파산자와 파산채권자 사이의 합의에 의해 파산채권에 대해 청산배당을 하지 않고 다른 변제방법을 정하여 파산을 종결시킬 수 있는데 이러한 제도를 강제화의라고 한다. 결국 파산절차 중에 회사의 갱생을 도모하는 제도로서 화의법에 의한 화의와 구분하기 위해 강제화의라는 용어를 쓰고 있다. 강제화의는 파산절차를 취함으로써 입게 되는 피해를 막고 파산자를 재기시켜 채권자들이 더 많은 변제를 받을 수 있는 방안으로 마련된 제도적 장치이다. 
개별정리방식 ,"한국자산관리공사의 부실채권 정리방법의 하나로 개별정리방식은 개별자산에 대하여 가능한 한 높은 가격에 채권을 회수하는 것을 주안점으로 추진되는 방법으로 유입자산공매, 법원경매, 채권추심(자진변제 유도 및 은닉재산 발견), 기업채권매각 등으로 구분된다. 여기서 기업채권매각은 한국자산관리공사가 금융기관으로부터 인수한 부실채권을 개별기업단위로 매각함으로써 부실채권정리기금의 원활한 회수와 회수자금의 극대화를 도모하기 위하여 2000년 3월초 의욕적으로 도입한 제도의 하나로 공개경쟁입찰을 통하여 제3자에게 직접 매각하거나 M&A방식으로 매각하는 것이다. 기업채권 매각에서는 대량매각에서와 달리 개별채권 자체가 매각대상이 되므로 개별채권의 가치에 대한 중요도가 매각성사 여부를 결정한다. 이와 달리 유입자산 공매, 법원경매, 채권추심 등은 채무자로부터 직접 변제를 받거나 담보물을 경매처분하여 회수하는 방법으로 채권회수에 있어 가장 일반적이고 전통적인 방법이다. "
개별정산 ,"부실채권의 초기 매입시기인 IMF관리체제 이후 부실채권의 급증으로 금융기관의 유동성위기 해소가 시급한 과제로 등장함에 따라, 한국자산관리공사는 우선 금융기관에 대한 유동성 공급 차원에서 금융기관별로 일괄하여 개산된 금액으로 대금을 선지급하고, 사후에 채무자별로 정산하는 방식으로 부실채권을 매입하였다. 개별정산기준은 일반채권, 일반무담보채권, 특별채권이 다르게 산정되었다. 일반담보부채권의 매입가격은 기준가격에 할인부분가격을 합하여 산정하였다. 기준가격은 담보물건의 감정평가액에 법원경매의 평균낙찰률을 곱하여 산출한 가격에서 선순위채권과 경매비용 등을 공제한 금액을 말한다. "
개별정산대금 ,개별정산대금은 한국자산관리공사가 특별채권의 매입에 따라 금융기관에 지급하는 매입대금으로 차주별 변제금액에 현재가치 할인율을 적용하여 산출한 현재가치 금액을 말한다. 
개별정산차액금 ,"원칙적으로 금융기관은 한국자산관리공사에 일괄매매반환대금을 반환하고 한국자산관리공사는 금융기관에 개별정산대금을 새로이 지급하여야 하나, 실제로는 그 금액의 차액만을 금융기관과 상호 수수한다. 개별정산차액금은 일괄매매반환대금에서 개별정산대금을 차감한 금액을 말한다. "
개산가격기준(매입률) ,"한국자산관리공사는 금융기관의 부실채권을 매입할 때 부실채권의 특성에 따라 일반채권과 특별채권을 구분하여 산정하였다. 일반채권의 경우 은행 부실채권의 개산가격은 은행감독원의 대손충당금 설정비율을 기준으로 산정하였으며, 종금사 부실채권의 개산가격은 은행에 준하여 산정하였다. 특별채권의 경우에는 기업의 순자산가치/시장가치를 종합적으로 반영하는 해당계열 주기업체의 주식시장가격을 기준으로 산정하였다."
"개인신용평가시스템 (個人信用評價 - , CSS: Ｃredit Ｓcoring Ｓystem) ","개인이 대출을 신청할 때 종전에는 직업등급표 연간소득 등 단순한 기준을 적용했다. 그러나 개인신용시스템(CSS)은 대출을 신청할 때 작성하는 인적사항과 직장/소득현황/재무상태 등 신용과 관련된 모든 사항을 항목별로 점수화하여 이 점수에 따라 대출 가능여부와 대출금액을 산정하는 시스템이다. 선진국 대부분의 은행들은 대출할 때 보편적으로 개인신용시스템을 적용하고 있다. 우리나라의 경우에도 최근 은행들이 신용대출을 확대하고 인터넷뱅킹을 시작하면서 개인신용시스템을 잇따라 도입하고 있다.개인신용시스템은 개발된 모형의 시스템 구축을 통하여 효율적인 위험관리와 시스템 심사를 통한 경비절감뿐만 아니라 합리적인 의사결정, 신속하고 일관성 있는 심사지원으로 고객만족 실현이 가능하다. 개인신용시스템은 신용공여 상품의 신용주기(Credit Cycle)에 따라 신청평점시스템(ASS: Application Scoring System)과 행동평점시스템(BSS: Behavior Scoring System)으로 나누어진다. "
"개인자산통합관리서비스 (個人資産統合管理 -, PFMSS: Personal Finance Management Software Service) ","증권사/은행/신용카드사/보험사 등 각 금융기관에 분산되어 있는 개인의 모든 금융자산을 모아 한 군데서 관리하고 온라인 서비스 해주는 시스템을 말한다. 이 서비스는 개인이 여러 가지 계정을 일일이 확인해야 하는 불편을 덜어주기 위해서 고안되어 미국 등 선진국에서 커다란 시장을 형성하고 있다. 미국의 요들리(yodlee.com)社, 퀵큰(quicken.com)社 등은 개인의 은행/증권/보험/신탁 등의 모든 계좌와 부동산이나 동산 등 각종 자산을 한눈에 파악할 수 있게 해주는 대표적인 기업이다. 국내에서도 핑거/소프트그램 등이 이와 비슷한 시스템을 개발하여 제일/한빛 등 일부 은행들과 제휴를 추진하였다. "
갱생 ,"기업이 도산처리 과정을 거쳐 마지막에 처하게 되는 결과는 갱생과 청산이다. 갱생은 도산기업이 경영합리화 등의 자구책과 채권자로부터 받은 채무탕감 등을 통하여 정상화되는 것이고, 청산은 기업을 소멸시키는 것이다. 도산기업을 갱생 시키기 위해서는 먼저 기업과 채권자의 합의가 이루어져야 한다. 대부분의 국가에서 청산과 갱생절차를 인정하고 있는데, 2000년 1월에 개정된 회사정리법에서는 정리계획안의 인가요건으로 도산기업이 경제적으로 가치가 있어야 할 것을 명시하고 있다. 경제적으로 가치가 있다는 것은 기업의 계속가치가 청산가치보다 크다는 뜻이다. 이러한 기업에 대해서는 사회 전체적으로 보든 기업소유주의 관점에서 보든 갱생을 시도하여야 한다. "
거래종료 (closing) ,"한국자산관리공사는 본 계약에 따라 특정 채권관계에 관하여 관계되는 종료서류의 기일 내 인도, 채권관계의 매매 및 그에 대한 매수대금의 지급 등 본 계약서에 의한 모든 절차를 거래종료(closing)라고 한다. "
"건전재정 (健全財政, sound fiscal management) ","건전재정은 세출(歲出)이 세입(歲入)의 범위 내에서 충당되고, 공채(公債)발행이나? 차입이 없는 재정상태를 말한다. 그러나 이처럼 재정수지가 항상 균형 또는 흑자를 기록하는 것이 언제나 바람직하다고 말하기는 어렵다. 재정의 경기안정화 기능을 살리기 위해서는 경기가 침체될 때 재정적자를 용인하는 것이 더 나을 수 있기 때문이다. 또 항상 재정균형을 유지하기 위해서는 세율을 자주 변화시켜야 하는데 이는 조세제도의 안정성을 저해하고 조세의 사중손실(deadweight loss)을 증가시킬 수도 있다. 따라서 현재에는 건전재정이 보다 덜 제약적인 의미로 사용된다. 즉 경기순환국면 전반에 걸쳐 재정수지가 평균적으로 균형 또는 흑자상태에 있거나, 국가채무/GDP 비율이 상승하지 않고 일정 수준에서 안정되어 있으면 재정이 비교적 건전한 것으로 판단한다. "
"결산 (決算, closing account) ","일정한 기간동안 발생한 수입과 지출을 계산하여 재산상태를 서류로 작성하는 일을 결산이라 한다. 결산은 1회계연도 내에 발생한 수입과 지출을 계산하여 재산상태를 알 수 있도록 서류로 작성하는 일로서 기업회계상의 결산과 정부회계상의 결산이 있다. 기업회계상의 결산은 기업이 한 회계기간의 손익을 산정하고, 기말의 재정상태를 명확하게 하는 회계적인 절차이다. 결산업무는 기말 전후(특히, 기말 후 1～2개월)에 집중적으로 하게 된다. 기업회계상의 결산내용은 각종 수익과 비용을 어느 기간에 귀속시키느냐를 결정하고, 그 결과로 재고조사나 저가격주의를 전제로 하는 시가조사 등이 행하여진다. 이렇게 파악한 정보는 손익계산서와 대차대조표에 기재한다. "
"결합재무제표 (結合財務諸表, combined financial statement) ","정부가 30대 그룹 계열회사에 대해 의무적으로 작성하도록 한 재무제표로서, 30대 기업집단 소속의 모든 국내외 계열사들의 매출액과 손익, 자본금과 자산, 부채 및 내부거래 사정을 일목요연하게 작성하도록 되어 있다. 결합재무제표는 대기업집단의 오너는 물론 특수관계인에 의해 실질적인 지배권을 행사할 수 있는 기업들을 하나의 기업으로 보고 작성된다. 소속회사의 재무제표를 결합하여 기업집단 전체의 대차대조표, 손익계산서, 현금흐름표 등을 작성한다. 따라서 재무, 영업, 인사상의 경영권 행사, 상호지급보증 관계, 자금대차 관계, 담보제공 관계 등이 모두 포괄된다. 또한 계열사 상호간 매출거래와 대여, 투자거래 관계는 제거되기 때문에 해당 기업집단이 외부와 거래한 것만 기록돼 매출을 과대 포장할 수 없게 된다. 따라서 결합재무제표를 작성하게 되면 내부거래가 감소하고 서로 출자한 지분이 사라져 보통의 재무제표를 작성할 때보다 매출액은 줄어들고 부채비율은 늘어나는 경우가 일반적이다. 이에 따라 기업들은 단기적으로는 대외신인도가 떨어지고 자금조달 능력이 나빠질 수 있지만 장기적으로는 경영의 투명성이 높아질 수 있다. "
"겸업은행제도 (兼業銀行制度, universal banking system) ","독일, 오스트리아, 스위스 등 서유럽제국에서 발전한 제도로서 은행이 고유업무인 예금과 대출업무 뿐만 아니라 은행주변업무, 신탁업무, 증권업무, 보험업무와 장기의 산업금융까지 참여하여 종합적인 금융 서비스를 제공하는 은행제도를 가리킨다. 일반 상업은행의 예대업무와 증권관계 업무는 본질적으로 차이가 있으나, 이것의 구분없이 일반은행의 기본업무 중에 증권업무가 포함되는 제도가 겸업은행제도로 전문은행제도와 대칭되는 개념이다. 1970년대 이후 금융혁신, 금융자유화, 은행업무의 전산화 등의 발달로 종합금융체제로의 이행이 급속히 진행되면서 전문은행제도를 근간으로 하는 미국, 일본 등의 나라들도 겸업은행제도로의 변천이 이루어지고 있다. 우리나라도 일반은행에 신탁, 팩토링, 증권 등 주변업무 취급을 허용함으로써 겸업은행제도를 허용하고 있다. "
"경과이자 (經過利子, accrued interest) ",경과이자란 공채(公債)나 사채(社債)를 매매할 때 전회(前回)의 이자 지불일 다음날부터 매매되는 날까지의 경과일수의 이자를 말한다. 공사채의 경우 지정된 이자지불일부터 매매되는 날까지의 이자는 매수인이 매도인에게 지불하게 되지만 실제로는 판매가격에 포함되어 매매된다. 
경락 (競落) ,"경매에 의하여 그 목적물인 동산 또는 부동산의 소유권을 취득하는 일을 말한다. 경매란 매도인이 다수의 매수인에게 구두로 매수신청을 최고(催告)하고, 매수신청인 가운데 최고액의 신청인에게 승락을 하여 매매하는 것을 말하는데, 여기에서 승락이 바로 경락이다. 민사소송법상 경매의 경우 동산의 최고가 경매의 경락은 집행관이 최고경매 가격을 3회 호창한 다음에 하여야 하며, 경매물의 인도는 대금과 상환하여야 한다. 반면에 부동산의 경우에는 법원이 경락허락 여부를 재판하기 위하여 경락기일(競落期日)을 정하여야 한다. 경락기일은 경매기일로부터 7일 이내로 정해야 하며, 경락절차는 법원 내에서 하여야 한다. 또한 경락기일은 경매기일의 공고 중에 기재되어야 한다. 법원은 경락기일에 출석한 이해관계인에게 경락에 관한 의견을 진술하게 하여야 하며, 이해관계인의 진술에서 이의 사유가 없다고 인정할 때에는 경락허가 결정을 한다. 과잉 경매의 경우는 경락 불허의 결정이 내려지나, 경매 자체를 허락하지 않는 경우가 아닌 한 경락불허의 결정이 있어도 신경매를 행한다. "
"경매 (競賣, auction) ",경매는 경쟁체결방식에 의하는 것으로 매도인이 다수자 중에서 구두로 매수신청을 시키고 최고가격의 신청인에게 매도하는 매매 방법이다. 경매에는 국가기관이 하는 공경매(公競賣)와 사인(私人)이 하는 사경매(私競賣)로 구분된다. 공경매에는 민사소송법의 강제집행절차에 의한 경매와 국세징수법에 의한 경매가 있다. 민사소송법에 의한 경매에는 일반채권자에 의한 경매와 담보권의 실행을 위한 경매가 있다. 공경매 있어서 경락인(競落人)이 새롭게 권리를 취득하는 시기는 경락인이 경락대금을 완납한 때이다. 국세징수법에 의한 경매에 있어서도 매수대금을 납부한 때에 매각재산을 취득한다. ※ 경매절차 : 경매신청 → 경매개시 결정 → 현황조사 → 경매 → 경락허가결정→ 경락대금의 배당 → 재경매 
경매회수가능액 ,"감정평가액에 평균낙찰률을 곱하여 산정한 금액에서 선순위채권금액을 차감한 금액을 말하며, 매입대금이 경매회수금액 보다 큰 경우에는 매입대금을 경매회수가능액으로 본다. "
경영공시,「공공기관의 운영에 관한 법률」제11조제1항에 따른 공시항목과 공시책임자가 추가로 정한 공시항목의 자료를 한국자산관리공사 홈페이지에 게시하는 방법으로 국민에게 널리 알리는 것
경영관리위원회,"「금융회사부실자산 등의 효율적 처리 및 한국자산관리공사의 설립에 관한 법률」제14조에 의거하여 경영관리위원회를 설치하였으며, 다음의 사항을 경영관리위원회의 심의ㆍ의결로 확정한다.① 공사의 업무운영에 관한 기본방침과 업무계획의 수립 및 변경 ② 정관의 변경 ③ 업무방법서의 작성 및 변경 ④ 예산의 편성 및 변경과 결산 ⑤ 제38조에 따른 부실채권정리기금 및 제43조의2에 따른 구조조정기금 운용계획의 수립 및 변경 ⑥ 매 연도의 제40조에 따른 부실채권정리기금채권, 제43조의3제2항에 따른 구조조정기금채권 및 사채의 발행한도 ⑦ 부실자산 및 부실징후기업이 보유하는 부동산과 유가증권의 인수(대통령령으로 정하는 규모 이상의 것으로 한정한다) ⑧ 부실징후기업이 보유하는 계열기업의 인수 ⑨ 제26조제1항제3호ㆍ제13호 및 제14호의 업무에 관한 사항 ⑩ 그 밖에 공사, 제38조에 따른 부실채권정리기금 및 제43조의2에 따른 구조조정기금의 운영에 관한 사항으로서 정관으로 정하는 것"
"경영분석 (經營分析, business analysis) ","재무제표(財務諸表)를 중심으로 하는 재무정보나 기업 내외의 여러 정보를 이용하여, 기업활동의 적부를 심사하거나 기업자본을 평가하는 것을 말한다. 분석목적에 따라, 신용분석, 투자분석, 내부관리분석 등으로 분류할 수 있다. 신용분석은 금융제도의 확충을 배경으로 하여 신용조사의 수단으로서 발달하였으며, 그 후 사채(社債)의 등급을 매기는 것이나 도산 예측에도 이용되었다. 기업의 지불능력이나 채무의 변제가능성을 검사하기 위해 기업의 재무요인이나 인적/기술적 요인, 시장/산업의 경제요인 등이 분석된다. 특히 재무요인의 분석은 재무분석이라고도 하며, 실수법(實數法)이나 비율법 등을 이용하여 수익성, 유동성, 회전율 등이 조사된다. 일반적으로 유동비율(유동자산 ÷유동부채) 등의 유동성 지표나 자금운용표가 중시되는데 지속적으로 활동하는 기업에 있어서 지불능력의 원천은 수익력이므로 수익성의 분석은 필수 불가결하다. "
경영자 인수/경영자 매수 (MBO: management buy out) ,"회사내의 경영진과 임직원에 의한 기업의 전부 또는 일부 사업부나 계열사를 인수함을 경영자인수(MBO)라 한다. 기업인수 대부분이 외부의 제3자에 의해 이루어지는데 비해 회사내의 경영진과 임직원에 의해 이루어지므로 기업측면에서는 자연스럽게 한계사업을 정리하는 동시에 인원을 조정할 수 있으며, 임직원의 입장에서는 명예퇴직이나 실업 우려에서 벗어나 새로운 도전의 기회와 회사의 주인이 될 수 있다. 보통 매각사업부 임직원들은 우리사주 담보대출이나 회사의 도움을 받아 사업을 인수하게 되며 퇴직금을 인수자금으로 활용하기도 한다. 고용안정과 기업의 효율성을 동시에 추구할 수 있어 많이 활용되고 있다. "
"계약/계약서 (契約, agreement) ","사법상 일정한 법률효과 발생을 목적으로 2인 이상 당사자들의 의사표시로 성립되는 법률행위로 단독행위나 합동행위와 구별되는 말이다. 따라서 계약은 사법의 모든 영역에 존재하며 채권의 발생을 목적으로 하는 합의(채권계약)뿐만 아니라, 물건의 변동을 목적으로 하는 물건계약, 혼인과 같은 가족법상의 법률관계의 변동을 목적으로 하는 합의 등도 포함하는 넓은 개념으로 쓰인다. 한편 민법은 이 넓은 의미의 계약 일반에 관한 통례를 두고 있지 않으며, 채권 편에서 좁은 의미의 계약, 즉 채권계약에 관한 통칙만을 정하고 있다. 그러므로 민법 채권편의 채권계약에 관한 통칙적 규정은, 특히 그것이 채권계약에만 적용되어야 할 특수성을 가지고 있지 않는 한, 이를 물건계약이나 기타 계약에도 유추 적용하여야 한다. "
계약형 투자신탁 (契約型投資信託) ,"계약형 투자신탁은 신탁계약에 따라 조직되고 운영되는 투자신탁을 말한다. 일반적으로 계약형투자신탁은 수익증권을 사들여 자금을 제공하는 수익자, 이 자금을 모집하고 운영하는 위탁자, 그리고 이를 직접 투자하고 관리하는 수탁자의 3자로 구성된다. 한국의 투자신탁은 대부분이 계약형이며 이에 대립되는 것은 회사형 투자신탁이다. 계약형 투자신탁은 신탁재산의 형성방법에 따라 유니트(unit 型)와 오픈(open 型)으로 구분되나, 영국에서는 계약형 투자신탁 전체를 유니트 트러스트(unit trust, 단위형투자신탁)라고 한다. "
